,type,id,class,time_1avg,cost_1avg,fails_1total,visited,repeated,explored
mazes/dense/1a,dense,1,a,30.06399411199891,0,1.0,0.0,0.0,0.0
mazes/dense/1b,dense,1,b,30.048368050000136,0,1.0,0.0,0.0,0.0
mazes/dense/1c,dense,1,c,30.044381166000676,0,1.0,0.0,0.0,0.0
mazes/dense/2a,dense,2,a,30.049431662999268,0,1.0,0.0,0.0,0.0
mazes/dense/2b,dense,2,b,30.038749729999836,0,1.0,0.0,0.0,0.0
mazes/dense/2c,dense,2,c,30.051316327000677,0,1.0,0.0,0.0,0.0
mazes/dense/3a,dense,3,a,30.047542877000524,0,1.0,0.0,0.0,0.0
mazes/dense/3b,dense,3,b,30.039613455999643,0,1.0,0.0,0.0,0.0
mazes/dense/3c,dense,3,c,30.058296256000176,0,1.0,0.0,0.0,0.0
mazes/dense/4a,dense,4,a,30.055120716999227,0,1.0,0.0,0.0,0.0
mazes/dense/4b,dense,4,b,30.0332083889989,0,1.0,0.0,0.0,0.0
mazes/dense/4c,dense,4,c,30.05404760700185,0,1.0,0.0,0.0,0.0
mazes/dense/5a,dense,5,a,30.054393041002186,0,1.0,0.0,0.0,0.0
mazes/dense/5b,dense,5,b,30.051858225000615,0,1.0,0.0,0.0,0.0
mazes/dense/5c,dense,5,c,30.0505300549994,0,1.0,0.0,0.0,0.0
mazes/dense/6a,dense,6,a,30.0547690659987,0,1.0,0.0,0.0,0.0
mazes/dense/6b,dense,6,b,30.06027402000109,0,1.0,0.0,0.0,0.0
mazes/dense/6c,dense,6,c,30.052936224001314,0,1.0,0.0,0.0,0.0
mazes/dense/7a,dense,7,a,30.0520025170008,0,1.0,0.0,0.0,0.0
mazes/dense/7b,dense,7,b,30.05352589299946,0,1.0,0.0,0.0,0.0
mazes/dense/7c,dense,7,c,30.04486509599883,0,1.0,0.0,0.0,0.0
mazes/dense/8a,dense,8,a,30.05300543699923,0,1.0,0.0,0.0,0.0
mazes/dense/8b,dense,8,b,30.052495874999295,0,1.0,0.0,0.0,0.0
mazes/dense/8c,dense,8,c,30.05102292400261,0,1.0,0.0,0.0,0.0
mazes/dense/9a,dense,9,a,30.05450429800112,0,1.0,0.0,0.0,0.0
mazes/dense/9b,dense,9,b,30.054629664002277,0,1.0,0.0,0.0,0.0
mazes/dense/9c,dense,9,c,30.051501405996532,0,1.0,0.0,0.0,0.0
mazes/dense/10a,dense,10,a,30.056424582002364,0,1.0,0.0,0.0,0.0
mazes/dense/10b,dense,10,b,30.055364601998008,0,1.0,0.0,0.0,0.0
mazes/dense/10c,dense,10,c,30.0562491410019,0,1.0,0.0,0.0,0.0
mazes/sparse/1a,sparse,1,a,30.04954082399854,0,1.0,0.0,0.0,0.0
mazes/sparse/1b,sparse,1,b,30.031659312000556,0,1.0,0.0,0.0,0.0
mazes/sparse/1c,sparse,1,c,30.050838404000388,0,1.0,0.0,0.0,0.0
mazes/sparse/2a,sparse,2,a,1.053857844999584,160.0,0.0,0.0,0.0,0.0
mazes/sparse/2b,sparse,2,b,6.312016548003157,57.0,0.0,0.0,0.0,0.0
mazes/sparse/2c,sparse,2,c,30.052793398997892,0,1.0,0.0,0.0,0.0
mazes/sparse/3a,sparse,3,a,0.1392893370029924,48.0,0.0,0.0,0.0,0.0
mazes/sparse/3b,sparse,3,b,2.122835752001265,106.0,0.0,0.0,0.0,0.0
mazes/sparse/3c,sparse,3,c,3.428175351000391,144.0,0.0,0.0,0.0,0.0
mazes/sparse/4a,sparse,4,a,30.053923289000522,0,1.0,0.0,0.0,0.0
mazes/sparse/4b,sparse,4,b,10.631630537998717,155.0,0.0,0.0,0.0,0.0
mazes/sparse/4c,sparse,4,c,30.06420384500234,0,1.0,0.0,0.0,0.0
mazes/sparse/5a,sparse,5,a,4.355871840001782,100.0,0.0,0.0,0.0,0.0
mazes/sparse/5b,sparse,5,b,30.052075012001296,0,1.0,0.0,0.0,0.0
mazes/sparse/5c,sparse,5,c,1.060347908998665,160.0,0.0,0.0,0.0,0.0
mazes/sparse/6a,sparse,6,a,30.056889235998824,0,1.0,0.0,0.0,0.0
mazes/sparse/6b,sparse,6,b,30.05151202200068,0,1.0,0.0,0.0,0.0
mazes/sparse/6c,sparse,6,c,5.451260616002401,70.0,0.0,0.0,0.0,0.0
mazes/sparse/7a,sparse,7,a,30.05633874799969,0,1.0,0.0,0.0,0.0
mazes/sparse/7b,sparse,7,b,7.3832603830014705,250.0,0.0,0.0,0.0,0.0
mazes/sparse/7c,sparse,7,c,13.767318899001111,130.0,0.0,0.0,0.0,0.0
mazes/sparse/8a,sparse,8,a,6.92516286299724,140.0,0.0,0.0,0.0,0.0
mazes/sparse/8b,sparse,8,b,30.059103272000357,0,1.0,0.0,0.0,0.0
mazes/sparse/8c,sparse,8,c,7.564962954998919,285.0,0.0,0.0,0.0,0.0
mazes/sparse/9a,sparse,9,a,7.0163705140003,116.0,0.0,0.0,0.0,0.0
mazes/sparse/9b,sparse,9,b,30.056016988997726,0,1.0,0.0,0.0,0.0
mazes/sparse/9c,sparse,9,c,30.059333258999686,0,1.0,0.0,0.0,0.0
mazes/sparse/10a,sparse,10,a,30.06025271800172,0,1.0,0.0,0.0,0.0
mazes/sparse/10b,sparse,10,b,21.340095128998655,150.0,0.0,0.0,0.0,0.0
mazes/sparse/10c,sparse,10,c,30.058247437002137,0,1.0,0.0,0.0,0.0
